T?NG H?P T?N KHO;;;;;;;;
Kho: Kho Vientiane SPM, T? ngày 04/10/2025 ??n ngày 20/12/2025;;;;;;;;
STT;Mã hàng;Tên hàng;?VT;Cu?i k?;SL Ki?m kê;Chênh l?ch;Ghi chú;
191;8936230640025;Pha phaek ????????? 800g- yeti baby Wipes  (???,???);Bag;795 ;;;;
192;6932384017340;phem phert phu thau YIBERO size L;Bag;998 ;;;;
193;6932384017357;phem phert phu thau YIBERO size XL;Bag;602 ;;;;
194;6975750150791;phem phert phu thau YIBERO size XXL;Bag;696 ;;;;
195;8993175553582;Richeese cookies 112g;Gói;5 ;;;;
196;8857128993705;Sapsap Cake lod khao mao 240g ( ????????????? );Box;2.206 ;;;;
197;8857128993712;Sapsap Cake lod Mak kuay 240g ( ?????????? );Box;3.086 ;;;;
198;8857128993873;Sapsap Cake lod strawberry 240g ((?????????????);Box;3.278 ;;;;
199;8857128993590;Sapsap Drink - ??????? 455ml ?i;Chai;7.790 ;;;;
200;8857128993576;Sapsap Drink - ????????? 455ml m?ng c?t;Chai;27 ;;;;
201;8859522968686;Sen lorn sakhu Nam xiem 500g - ????????????? ??????? 500g;Bag;869 ;;;;
202;8857128993361;Sensen bugle 70g - BBQ (??? ???????);An;2.333 ;;;;
203;8857123882103;Sensen Potato chips 110g - BBQ (??????????);Box;25 ;;;;
204;8857123882080;Sensen Potato chips 110g - Crab Curry (?????????????????);Box;18 ;;;;
205;8857123882073;Sensen Potato chips 110g - Hot & Spicy (???????);Box;23 ;;;;
206;8857128993415;Sensen Potato chips 110g - Pizza (??? ??????);An;9.857 ;;;;
207;8857123882097;Sensen Potato chips 110g - Seaweed (??????????);Box;1.799 ;;;;
208;8857128993408;Sensen Potato chips 110g - Tomato (??? ?????????);An;7.525 ;;;;
209;8857123882028;Sensen Potato chips 70g - BBQ (??????????);Box;;;;;
210;8857123882042;Sensen Potato chips 70g - Crab Curry (?????????????????);Box;;;;;
211;8857123882035;Sensen Potato chips 70g - Hot & Spicy (???????);Box;164 ;;;;
212;8857128993385;Sensen Potato chips 70g - Pizza (??? ??????);An;7.747 ;;;;
213;8857123882059;Sensen Potato chips 70g - Seaweed (??????????);Box;6 ;;;;
214;8857128993378;Sensen Potato chips 70g - Tomato (??? ?????????);An;5.628 ;;;;
215;8857128993354;Sensen Triangle corn 70g -  Cream onion (??? ??????????);An;2.193 ;;;;
216;8857128993347;Sensen Triangle corn 70g - BBQ (??? ???????);An;2.482 ;;;;
217;8934662398408;ST Hand wash - Peach Bellini 500ml ( namya lang mue Nam ) - ST?????;Bot;1.778 ;;;;
218;8934662398415;ST Hand wash - Tropical Mango 500ml ( namya lang mue Nam )  - ST?????;Bot;2.259 ;;;;
219;LNKSTKN;Stick Kong Milky choco - Milk - Strabery - chocolate - Mango - ?????????-???-???;Box;5.419 ;;;;
220;8993175564915;Strawberry Wafer 110g;Bag;160 ;;;;
221;8993175564892;Strawberry Wafer 50g;Bag;834 ;;;;
222;8938545001263;teen kai bigger 48g?????????????? 48g;Bag;1.468 ;;;;
223;8938545001447;teen kai dong dengthong noy-???????????????????35g;Pack;1.956 ;;;;
224;8938545001041;teen kai dong mak phet 40g-???????????????????? 40g;Bag;3.566 ;;;;
225;8938545001027;teen kai dong mak phet 80g-???????????????????? 80g;Bag;757 ;;;;
226;8938545001485;teen kai dong som thong noy-????????????????????22g;Pack;1.964 ;;;;
227;8938545001058;teen kai dong32g-????????? 32g;Bag;0 ;;;;
228;8938545001478;teen kai phet pen to thong noy-????????????????????????35g;Pack;1.947 ;;;;
229;8938545001324;teen kai phet pento40g - ?????????? ??????????40g;Bag;198 ;;;;
230;8857123882967;Tissu 10  Kor / Fax bor mi ken ( si bua ) -??10????;Fax;36 ;;;;
231;8857123882370;Tissu 10 kor/fax bor mi ken ( si khieu) - ??10??;Fax;158 ;;;;
232;8857123882868;Tissu 10 Kor/fax mi ken - ??10??;Fax;75 ;;;;
233;8857123882660;Tissu 10 Kor/fax mi ken ( Hom hor ) - ??10??;Fax;0 ;;;;
234;8857123882769;Tissu 24 kor / Fax mi ken - ??24???;Fax;29 ;;;;
235;8857123882165;Tissu bep dung 100 phen, 16 fek / ket - ????100?;Fax;113 ;;;;
236;8857123882264;Tissu bep dung 250 phen, 12 fak / carto -????250;Fax;245 ;;;;
237;8857123882363;Tissu bep kap, 36  Box / ket - ????;Box;180 ;;;;
238;8857123882288;Tissu dung 200 Phen 12 fax / carton( Me lai dork ) - ????200;Fax;394 ;;;;
239;8857123882233;Tissue bep dung 150 phen - ????150?;Fax;101 ;;;;
240;8857123882424-001;Tissue Dao Huong  10 kor / fax -????10?;Fax;115 ;;;;
241;8857123882424;Tissue Dao Huong 10 kor/fax ( bor me ken) - ????10?;Fax;102 ;;;;
242;8857123882110;Tissue kor yai 1kg ( sam lap hong nam ) - ????1?;Roll;633 ;;;;
243;8857123882462;Tissue kor yai 700g (sam lap hong nam ) - ????700;Roll;409 ;;;;
244;8935024163504;TN Coffee Creative No1. 340gr (Ground Coffee);Bag;106 ;;;;
245;8935024163511;TN Coffee Creative No2. 340gr (Ground Coffee);Bag;107 ;;;;
246;8935024130254;TN Coffee Legend Phin Giay (Drip Filter) 100gr - Americano (10 sachets 10gr/box);Box;83 ;;;;
247;8935024130261;TN Coffee Legend Phin Giay (Drip Filter) 100gr - Fusion Blend (10 sachets 10gr/box);Box;83 ;;;;
248;8935024130247;TN Coffee Legend Phin Giay (Drip Filter) 100gr - Vietnamese Blend (10 sachets 10gr/box);Box;82 ;;;;
249;8936052760970;Today cake 240g - ????????????????  ????????????? 240g;Box;0 ;;;;
250;8936052760987;Today cake 240g - ????????????????  ?????????? 240g;Box;16 ;;;;
251;8936052760918;Today cake 240g - ????????????????  ????????? 240g;Box;0 ;;;;
252;8936052760994;Today cake 240g - ????????????????  ????????? 240g;Box;0 ;;;;
253;8936085980994;Túi Zipper ( 15cm x 20cm x 25 an )- ???1520;Box;908 ;;;;
254;4337NNC;Thong Canvas NNC 43 x 37 - Túi V?i NNC;An;1.074 ;;;;
255;8936085980246;Thong mua ahan size L ( 100 an / box ) ???L;Box;2.054 ;;;;
256;8936085980239;Thong mua ahan size M ( 100 an / box) - ???M;Box;1.460 ;;;;
257;8938511051292;Thong sai ahan 17x25 x 220g;Roll;79 ;;;;
258;8938511051186;Thong sai ahan 20x30 x 250g;Roll;1 ;;;;
259;8938511051148;Thong sai ahan 20x30 x 500g;Roll;0 ;;;;
260;8938511051155;Thong sai ahan 25cmx35cmx200 túi (32 cái/thùng) - ????2535;Roll;860 ;;;;
261;8938511051124;Thong sai ahan 30cmx45cmx200 túi (32 cu?n/thùng) ????3045;Roll;1.028 ;;;;
262;8938511051209;Thong sai kee yeua 43cm x 53cm - ????4353;Roll;1.757 ;;;;
263;8938511051179;Thong sai kee yeua 53cm x 63cm - ????5363;Roll;544 ;;;;
264;5565KY;Thong sai kee yeua 55cm x 65cm ( 3 kor/fax) - ????5565;Fax;10 ;;;;
265;8938511051308;Thong sai kee yeua 65cm x 85cm - ????6585;Roll;36 ;;;;
266;8938511051391;Thong sai kee yeua kor 55cm x 60cm - ????5560;Roll;117 ;;;;
267;XLSATM;Thung mu ( Sun ) size S - ????S;Fax;45 ;;;;
268;LYATM;Thung mu ( Yao ) Size L - ????L;Fax;1 ;;;;
269;XLYATM;Thung mu ( Yao ) Size XL - ????XL;Fax;4 ;;;;
270;8936141660006;Thung Zipper ( 14cm x 20cm x 30 an )- ???1420;Box;3 ;;;;
271;8936085980635;Th?ng Zipper ( 5cm x7cm x 100 an ) -???0507;Bag;1.037 ;;;;
272;8936085980642;Thung Zipper ( 7cm x10cm x80 túi ) - ???0710;Bag;581 ;;;;
273;914ZP;Thung Zipper ( 9cm x14cm x 40 an ) ???1014;Bag;2.401 ;;;;
274;8936085980024;Thung Zipper size L ( 26.5cm x 31cm x20 an) - ???2631;Box;1.152 ;;;;
275;8936085980017;Thung Zipper size M ( 18cm x 21cm x 30 an ) - ???1821;Box;1.938 ;;;;
276;8936085980031;Thung Zipper size XL ( 28cm x 35cm x 10 an  ) - ???2835;Box;1.356 ;;;;
277;841165149308;Treat Coffee Chocolate Bar 20gmX20pcsX12box - ????????? ???? ??? ????;Box;317 ;;;;
278;BTZP;V? h?p túi zipper ( mua sang thay hàng túi ko bán ?c );An;6.000 ;;;;
279;8936001171017;Xa sod 3 dao 100g;Bag;917 ;;;;
280;8936001170331;Xa sod 3 dao 200g;Bag;740 ;;;;
281;8936001170027;Xa sod 5 dao 100g;Bag;339 ;;;;
282;8936001170133;Xa sod 5 dao 200g;Bag;606 ;;;;
283;8938539381135;yeti tissue - ????????????? 1280 ????;Bag;3 ;;;;
